,MATERIAL_DESCRIPTION,STORAGE_LOCATION,SUBSTORE_STOCK,DATASHEET LINK,
,UCC2800,BOX-25,13,https://www.ti.com/lit/ds/symlink/ucc2800-ep.pdf?ts=1751276330324&ref_url=https%253A%252F%252Fwww.google.com%252F,
,MAX202 = ADM202,BOX-25,46,https://www.ti.com/lit/ds/symlink/max202.pdf?ts=1751276361865&ref_url=https%253A%252F%252Fwww.google.com%252F,
,74HC125,BOX-25,20,https://www.ti.com/lit/ds/symlink/sn74hc125.pdf,
,MC3487 ,BOX-26,32,https://www.ti.com/lit/ds/symlink/mc3487.pdf,
,ADUM1401,BOX-26,15,https://www.analog.com/media/en/technical-documentation/data-sheets/adum1400_1401_1402.pdf,
,24CO2N,BOX-26,1,https://www.onsemi.com/download/data-sheet/pdf/n24c02-d.pdf,
,ADG508,BOX-26,32,https://www.analog.com/media/en/technical-documentation/data-sheets/adg508f_509f.pdf,
,OPTO817,BOX-26,12,https://www.farnell.com/datasheets/73758.pdf,
,ATMLH2118,BOX-26,40,…,
,ATMEL422,BOX-26,3,…,
,HCF4081 ,BOX-27,14,https://www.st.com/resource/en/datasheet/hcf4081.pdf,
,2062C,BOX-27,66,https://www.ti.com/lit/ds/symlink/tps2066c.pdf,
,UC3842(14PIN),BOX-27,4,https://www.ti.com/lit/ds/symlink/uc3842.pdf,
,200D4 =NCP1200D4,BOX-27,57,https://www.onsemi.com/download/data-sheet/pdf/ncp1200-d.pdf,
,UC3843(14PIN),BOX-27,10,https://www.ti.com/lit/ds/symlink/uc3843.pdf?ts=1751277743206&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FUC3843,
,LM293,BOX-27,10,https://www.ti.com/lit/ds/symlink/lm393.pdf,
,UC3842(8PIN),BOX-27,28,https://www.ti.com/lit/ds/symlink/uc3842.pdf,
,TLC274,BOX-27,10,https://www.ti.com/lit/ds/symlink/tlc279.pdf?ts=1751234291037&ref_url=https%253A%252F%252Fwww.google.fr%252F,
,ST485C ,BOX-28,7,https://www.st.com/resource/en/datasheet/st485b.pdf,
,3N120,BOX-28,10,https://www.mouser.com/datasheet/2/205/98844-63617.pdf?srsltid=AfmBOorEScBUaLOw9P5YYcLWMwa-7FDnSaedZWwTzU6qfOKvNH_j5OYS,
,28C43,BOX-28,13,https://www.ti.com/lit/ds/symlink/ucc28c45-ep.pdf?ts=1751277840492&ref_url=https%253A%252F%252Fwww.google.com%252F,
,7555,BOX-28,1,https://www.nxp.com/docs/en/data-sheet/ICM7555.pdf,
,14504B =CD4504,BOX-28,14,https://www.ti.com/lit/ds/symlink/cd4504b.pdf?ts=1751269833935&ref_url=https%253A%252F%252Fwww.google.com%252F,
,2201,BOX-28,12,https://www.mouser.com/datasheet/2/678/AVGO_S_A0012924336_1-2524988.pdf?srsltid=AfmBOooUlTwe4uv0wt_tOf82-CG7rvN3XZH6Wyb1dbLUCwSgtf1Z-CgW,
,MAX4581,BOX-28,20,https://www.analog.com/media/en/technical-documentation/data-sheets/max4581-max4583.pdf,
,24C02,BOX-28,30,https://ww1.microchip.com/downloads/en/DeviceDoc/21202j.pdf,
,HEF4050 ,BOX-29,19,https://assets.nexperia.com/documents/data-sheet/HEF4050B.pdf,
,HEF4011,BOX-29,13,https://assets.nexperia.com/documents/data-sheet/HEF4011B.pdf,
,LM393,BOX-29,20,https://www.ti.com/lit/ds/symlink/lm393.pdf,
,BE5V12,BOX-29,3,,
,ULN2803 ,BOX-29,16,https://www.ti.com/lit/ds/symlink/uln2803c.pdf?ts=1751260691476&ref_url=https%253A%252F%252Fwww.google.com%252F,
,MAX3160,BOX-29,21,https://www.analog.com/media/en/technical-documentation/data-sheets/max3160-max3162.pdf,
,MAX934,BOX-30,15,https://www.analog.com/media/en/technical-documentation/data-sheets/max931-max934.pdf,
,4047,BOX-30,20,https://www.ti.com/lit/ds/symlink/cd4047b.pdf?ts=1751196615593&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FCD4047B%252Fpart-details%252FCD4047BM,
,LM239,BOX-30,11,https://www.ti.com/lit/ds/symlink/lm139.pdf,
,3160,BOX-30,8,https://www.analog.com/media/en/technical-documentation/data-sheets/max3160-max3162.pdf,
,CD4049,BOX-30,16,https://www.ti.com/lit/ds/symlink/cd4049ub.pdf,
,UCC2917,BOX-30,8,https://www.ti.com/lit/ds/slus203d/slus203d.pdf,
,UCC2817,BOX-30,10,https://www.ti.com/lit/ds/symlink/ucc2818.pdf?ts=1751278244956&ref_url=https%253A%252F%252Fwww.google.com%252F,
,XTR105U ,BOX-31,15,https://www.ti.com/lit/ds/symlink/xtr105.pdf,
,SMP220SR1,BOX-31,4,https://www.tedss.com/DataSheets/2028/2028020476.pdf?srsltid=AfmBOoq1fTd7DosZkvjB7xmH80HbDYqasKuujgHg2iw80que8herKE2r,
,74HC14,BOX-31,20,https://www.ti.com/lit/ds/symlink/sn74hc14.pdf,
,CD6232,BOX-31,2,….,
,MAX4610,BOX-31,15,https://www.analog.com/media/en/technical-documentation/data-sheets/max4610-max4612.pdf,
,13845,BOX-31,5,http://images.100y.com.tw/pdf_file/38-Fuji-FA13842N.pdf,
,MC3487,BOX-31,6,https://www.ti.com/lit/ds/symlink/mc3487.pdf,
,UCC3818,BOX-32,14,https://www.ti.com/lit/ds/symlink/ucc2818.pdf?ts=1751278244956&ref_url=https%253A%252F%252Fwww.google.com%252F,
,MC14AG,BOX-32,1,https://www.st.com/resource/en/datasheet/mc1458.pdf,
,26LS32A,BOX-32,32,https://www.ti.com/lit/ds/symlink/uc3843.pdf?ts=1751277743206&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FUC3843,
,FDS9945,BOX-32,30,https://www.farnell.com/datasheets/205773.pdf,
,TL084,BOX-32,5,https://www.ti.com/lit/ds/symlink/tl084.pdf,
,OPTO TCLT1003,BOX-32,50,https://www.vishay.com/docs/83515/tclt1000.pdf,
,UCC3808,BOX-32,9,https://www.ti.com/lit/ds/symlink/ucc2808-2.pdf?ts=1751278618813&ref_url=https%253A%252F%252Fwww.google.com%252F,
,DS3487 ,BOX-33,1,https://www.ti.com/lit/ds/symlink/ds34c87t.pdf?ts=1751278638118&ref_url=https%253A%252F%252Fwww.google.com%252F,
,D9877,BOX-33,5,….,
,MAX232 = SP232EEN,BOX-33,38,https://www.ti.com/lit/ds/symlink/max232.pdf?ts=1751255746349&ref_url=https%253A%252F%252Fwww.google.com%252F,
