,,,,,
,MATERIAL_DESC,STORAGE_LOCATION,SUBSTORE_STOCK,DATASHEET LINK,
,4700?F/25V ,BOX 4,10,https://evelta.com/4700uf-25v-electrolytic-capacitor/?srsltid=AfmBOopl2yj15F57URM0FJ86rQ6jNbeaQ2W5kRenbXVIEIrPDDS_NR7i,
,470?F/63V ,BOX 4,10,https://www.sunrom.com/download/876.pdf,
,1?F/400V ,BOX 4,50,https://sharvielectronics.com/product/1uf-400v-1000nf-105j-polyester-film-capacitor/?srsltid=AfmBOoqTh2DF2ut0XTi3xizF6wv4bRpcaW9F0qvSOa3sILNOfcbiRwZh,
,1500?F/35V ,BOX 4,100,https://www.mouser.in/datasheet/2/977/Rubycon_Corportation_ZLR-3502683.pdf,
,4700?F/25V ,BOX 4,10,https://evelta.com/4700uf-25v-electrolytic-capacitor/?srsltid=AfmBOopl2yj15F57URM0FJ86rQ6jNbeaQ2W5kRenbXVIEIrPDDS_NR7i,
,47?F/250V ,BOX 4,100,https://www.mouser.in/datasheet/2/447/KEM_A4008_ESG-3316600.pdf,
,1500?F/35V ,BOX 4,80,https://www.mouser.in/datasheet/2/977/Rubycon_Corportation_ZLR-3502683.pdf,
,680?F/50V ,BOX 4,100,https://www.farnell.com/datasheets/3959171.pdf?_gl=1*g9zjfu*_gcl_au*MTUxOTc1ODEuMTc1MTAxNTM4MQ..,
,220?F/63V ,BOX 4,50,https://www.ktron.in/product/63v-220uf-electrolytic-capacitor-10-x-16-mm/?srsltid=AfmBOooUB7p5UUUtJeXjyGiVUGuy9Tv2F0X5bR4AMBuQgRQ5jfSlYqKE&v=c86ee0d9d7ed,
,220?F/100V ,BOX 4,100,https://www.cde.com/resources/catalogs/ATB.pdf,
,1000?F/16V ,BOX 4,59,https://www.vishay.com/docs/28570/126alx.pdf,
,330?F/63V ,BOX 4,100,https://uk.rs-online.com/web/p/aluminium-capacitors/1701275,
,470?F/450V ,BOX 4,120,"https://www.micros.com.pl/en/product/ke-47045030x50lt,208904.html",
,10µF/250V  ,BOX 4,100,https://www.tdk-electronics.tdk.com/inf/20/20/db/fc_2009/B32520_529.pdf,
