MATERIAL_DESC,STORAGE_LOCATION,SUBSTORE_STOCK,DATASHEET LINK
74LS138,I1_5_1,20,https://www.ti.com/lit/ds/symlink/sn54ls138-sp.pdf?ts=1751219378753&ref_url=https%253A%252F%252Fwww.google.com%252F
HCF4027,I1_5_1,20,http://www-9.unipv.it/lde/strumentazione_comp/datasheet/4027.pdf
SN74HCT245,I1_5_2,9,https://www.ti.com/lit/ds/symlink/sn74hct245.pdf
TNY278 & DS8922,I1_5_2,11,https://www.power.com/sites/default/files/documents/tinyswitch-iii_family_datasheet.pdf
VIPER22A,I1_5_2,0,https://www.st.com/resource/en/datasheet/viper22a-e.pdf
TL074,I1_5_3,23,https://www.st.com/resource/en/datasheet/tl074.pdf
SG6841,I1_5_3,34,https://www.rcscomponents.kiev.ua/datasheets/SG6841.PDF?srsltid=AfmBOoqnZck3GmsTwy2nMfNyev0ppV77DOJHyGkzMGde3w4TIaAGeSBU
TC4019,I1_5_4,10,https://www.silicon-ark.co.uk/datasheets/tc4019-datasheet.pdf
A4514,I1_5_4,2,…
HA17358,I1_5_4,28,https://avtronic.eu/medias/ha17358/ha17358.pdf
UC2843,I1_5_4,17,https://www.ti.com/lit/ds/symlink/uc2843a-q1.pdf?ts=1751193211300&ref_url=https%253A%252F%252Fwww.google.com%252F
74HC02 = 74LS02 = DM742S02N,I1_5_5,51,https://www.ti.com/lit/ds/symlink/sn74hc02.pdf
SN74HC191,I1_5_5,1,https://www.ti.com/lit/ds/symlink/sn74hc191.pdf
74HC161 / SN74LS161,I1_5_6,29,https://assets.nexperia.com/documents/data-sheet/74HC161.pdf
CD4047,I1_5_7,1,https://www.ti.com/lit/ds/symlink/cd4047b.pdf?ts=1751196615593&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FCD4047B%252Fpart-details%252FCD4047BM
CD4030 = HEF4030,I1_5_7,10,https://www.ti.com/lit/ds/symlink/cd4030b.pdf?ts=1751262017759&ref_url=https%253A%252F%252Fwww.google.com%252F
SN75188,I1_6_1,4,https://www.ti.com/lit/ds/slls094c/slls094c.pdf?ts=1751262031819&ref_url=https%253A%252F%252Fwww.google.com%252F
CD4011B,I1_6_1,3,https://www.ti.com/lit/ds/symlink/cd4011b.pdf?ts=1751262155923&ref_url=https%253A%252F%252Fwww.google.com%252F
L4963,I1_6_1,3,https://www.st.com/resource/en/datasheet/l4963.pdf
74LS155,I1_6_1,10,https://www.ti.com/lit/ds/symlink/sn54ls155a.pdf?ts=1751260100216&ref_url=https%253A%252F%252Fwww.google.com%252F
LM10CN,I1_6_1,10,https://www.ti.com/lit/ds/symlink/lm10.pdf
CA3240,I1_6_1,34,https://www.renesas.com/ja/document/dst/ca3240-ca3240a-datasheet?srsltid=AfmBOork55rfcT81-txlMWoZ0U6iziY-ImZtlB6vm0i7qF4dQHTWGQhl
4050,I1_6_2,52,https://www.ti.com/lit/ds/symlink/cd4049ub.pdf
AD737,I1_6_2,1,https://www.analog.com/media/en/technical-documentation/data-sheets/ad737.pdf
FAN4803,I1_6_2,4,https://www.mouser.com/ds/2/308/FAN4803-1-1191942.pdf?srsltid=AfmBOoqCERzScDmhDBRM8rZwaARz3WxIGSjNlxJTp5j-RTsEHGea3StM
CD4017,I1_6_3,3,https://www.ti.com/lit/ds/symlink/cd4017b.pdf
IXDN502,I1_6_3,15,https://www.mouser.com/ds/2/205/ds99573-297035.pdf?srsltid=AfmBOorHcR3fKsLhTCSzJdoXuJMv5InWAU0F91zxhWFUdVe9gL0vw5yb
TL7702ACP,I1_6_3,4,https://www.ti.com/lit/ds/symlink/tl7705a.pdf?ts=1751262332798&ref_url=https%253A%252F%252Fwww.google.com%252F
CD4511,I1_6_3,10,https://www.ti.com/lit/ds/symlink/cd4511b-mil.pdf?ts=1751202860766&ref_url=https%253A%252F%252Fwww.google.com%252F
7438 = SN74LS38,I1_6_4,48,https://www.ti.com/lit/ds/symlink/sn74ls38.pdf?ts=1751262365280&ref_url=https%253A%252F%252Fwww.google.com%252F
4013,I1_6_5,63,https://www.ti.com/lit/ds/symlink/cd4013b.pdf?ts=1751187908623&ref_url=https%253A%252F%252Fwww.google.com%252F
RM4156,I1_6_6,11,https://tvsat.com.pl/PDF/R/RM4156_ray.pdf
TD62064,I1_6_6,32,"https://www.mouser.com/datasheet/2/408/toshiba%20america%20electronic%20components,%20inc._dst_td-1209427.pdf?srsltid=AfmBOoo7Ok4FuurDO9KAGXf954w2czBwe59mWUl3Q2RF7NrKYDGQg2P5"
CD4006,I1_6_7,8,https://www.ti.com/lit/ds/symlink/cd4006b-mil.pdf?ts=1751262433570&ref_url=https%253A%252F%252Fwww.google.com%252F
CY8C27443-24PXI,I1_6_7,1,https://www.infineon.com/dgdl/Infineon-CY8C27143_CY8C27243_CY8C27443_CY8C27543_CY8C27643_PSOC_PROGRAMMABLE_SYSTEM-ON-CHIP-DataSheet-v31_00-EN.pdf?fileId=8ac78c8c7d0d8da4017d0ec678d03cb4
GAL16V8D,I1_6_7,20,https://ece-classes.usc.edu/ee459/library/datasheets/16v8.pdf
